Kommune;Formueskatt;Helsefagarbeidere;Sykepleiere
3001 Halden (2020-2023); 53 744 ; 69 ; 61 
3002 Moss (2020-2023); 147 882 ; 191 ; 167 
3003 Sarpsborg (2020-2023); 105 789 ; 137 ; 120 
3004 Fredrikstad (2020-2023); 181 817 ; 235 ; 205 
3005 Drammen (2020-2023); 262 249 ; 338 ; 296 
3006 Kongsberg (2020-2023); 73 445 ; 95 ; 83 
3007 Ringerike (2020-2023); 71 534 ; 92 ; 81 
3011 Hvaler (2020-2023); 17 868 ; 23 ; 20 
3012 Aremark (2020-2023); 4 017 ; 5 ; 5 
3013 Marker (2020-2023); 8 786 ; 11 ; 10 
3014 Indre Østfold (2020-2023); 91 718 ; 118 ; 104 
3015 Skiptvet (2020-2023); 6 060 ; 8 ; 7 
3016 Rakkestad (2020-2023); 18 712 ; 24 ; 21 
3017 Råde (2020-2023); 15 340 ; 20 ; 17 
3018 Våler (Viken) (2020-2023); 7 582 ; 10 ; 9 
3019 Vestby (2020-2023); 39 313 ; 51 ; 44 
3020 Nordre Follo (2020-2023); 199 488 ; 257 ; 225 
3021 Ås (2020-2023); 45 418 ; 59 ; 51 
3022 Frogn (2020-2023); 70 506 ; 91 ; 80 
3023 Nesodden (2020-2023); 57 207 ; 74 ; 65 
3024 Bærum (2020-2023); 1 204 749 ; 1 555 ; 1 361 
3025 Asker (2020-2023); 526 680 ; 680 ; 595 
3026 Aurskog-Høland (2020-2023); 28 441 ; 37 ; 32 
3027 Rælingen (2020-2023); 43 679 ; 56 ; 49 
3028 Enebakk (2020-2023); 16 129 ; 21 ; 18 
3029 Lørenskog (2020-2023); 131 282 ; 169 ; 148 
3030 Lillestrøm (2020-2023); 205 304 ; 265 ; 232 
3031 Nittedal (2020-2023); 64 975 ; 84 ; 73 
3032 Gjerdrum (2020-2023); 19 825 ; 26 ; 22 
3033 Ullensaker (2020-2023); 83 284 ; 107 ; 94 
3034 Nes (2020-2023); 34 793 ; 45 ; 39 
3035 Eidsvoll (2020-2023); 39 774 ; 51 ; 45 
3036 Nannestad (2020-2023); 21 745 ; 28 ; 25 
3037 Hurdal (2020-2023); 4 508 ; 6 ; 5 
3038 Hole (2020-2023); 28 584 ; 37 ; 32 
3039 Flå (2020-2023); 3 297 ; 4 ; 4 
3040 Nesbyen (2020-2023); 12 386 ; 16 ; 14 
3041 Gol (2020-2023); 17 035 ; 22 ; 19 
3042 Hemsedal (2020-2023); 12 634 ; 16 ; 14 
3043 Ål (2020-2023); 12 012 ; 15 ; 14 
3044 Hol (2020-2023); 25 412 ; 33 ; 29 
3045 Sigdal (2020-2023); 12 398 ; 16 ; 14 
3046 Krødsherad (2020-2023); 8 162 ; 11 ; 9 
3047 Modum (2020-2023); 28 709 ; 37 ; 32 
3048 Øvre Eiker (2020-2023); 63 021 ; 81 ; 71 
3049 Lier (2020-2023); 96 193 ; 124 ; 109 
3050 Flesberg (2020-2023); 6 932 ; 9 ; 8 
3051 Rollag (2020-2023); 2 106 ; 3 ; 2 
3052 Nore og Uvdal (2020-2023); 6 227 ; 8 ; 7 
3053 Jevnaker (2020-2023); 10 456 ; 13 ; 12 
3054 Lunner (2020-2023); 13 962 ; 18 ; 16 
0301 Oslo; 5 346 909 ; 6 899 ; 6 042 
3401 Kongsvinger; 44 401 ; 57 ; 50 
3403 Hamar; 70 893 ; 91 ; 80 
3405 Lillehammer; 76 081 ; 98 ; 86 
3407 Gjøvik; 68 982 ; 89 ; 78 
3411 Ringsaker; 58 266 ; 75 ; 66 
3412 Løten; 7 782 ; 10 ; 9 
3413 Stange; 29 475 ; 38 ; 33 
3414 Nord-Odal; 5 871 ; 8 ; 7 
3415 Sør-Odal; 13 538 ; 17 ; 15 
3416 Eidskog; 7 707 ; 10 ; 9 
3417 Grue; 7 465 ; 10 ; 8 
3418 Åsnes; 8 820 ; 11 ; 10 
3419 Våler (Innlandet); 4 879 ; 6 ; 6 
3420 Elverum; 32 607 ; 42 ; 37 
3421 Trysil; 12 563 ; 16 ; 14 
3422 Åmot; 6 459 ; 8 ; 7 
3423 Stor-Elvdal; 3 647 ; 5 ; 4 
3424 Rendalen; 2 076 ; 3 ; 2 
3425 Engerdal; 1 134 ; 1 ; 1 
3426 Tolga; 1 304 ; 2 ; 1 
3427 Tynset; 8 367 ; 11 ; 9 
3428 Alvdal; 3 410 ; 4 ; 4 
3429 Folldal; 1 962 ; 3 ; 2 
3430 Os; 4 402 ; 6 ; 5 
3431 Dovre; 4 371 ; 6 ; 5 
3432 Lesja; 3 029 ; 4 ; 3 
3433 Skjåk; 4 520 ; 6 ; 5 
3434 Lom; 4 031 ; 5 ; 5 
3435 Vågå; 5 160 ; 7 ; 6 
3436 Nord-Fron; 11 147 ; 14 ; 13 
3437 Sel; 6 663 ; 9 ; 8 
3438 Sør-Fron; 8 571 ; 11 ; 10 
3439 Ringebu; 10 392 ; 13 ; 12 
3440 Øyer; 10 325 ; 13 ; 12 
3441 Gausdal; 13 446 ; 17 ; 15 
3442 Østre Toten; 28 066 ; 36 ; 32 
3443 Vestre Toten; 14 744 ; 19 ; 17 
3446 Gran; 28 990 ; 37 ; 33 
3447 Søndre Land; 5 615 ; 7 ; 6 
3448 Nordre Land; 8 017 ; 10 ; 9 
3449 Sør-Aurdal; 6 049 ; 8 ; 7 
3450 Etnedal; 2 481 ; 3 ; 3 
3451 Nord-Aurdal; 16 151 ; 21 ; 18 
3452 Vestre Slidre; 7 512 ; 10 ; 8 
3453 Øystre Slidre; 9 490 ; 12 ; 11 
3454 Vang; 3 998 ; 5 ; 5 
3801 Horten (2020-2023); 47 065 ; 61 ; 53 
3802 Holmestrand (2020-2023); 52 639 ; 68 ; 59 
3803 Tønsberg (2020-2023); 151 860 ; 196 ; 172 
3804 Sandefjord (2020-2023); 179 084 ; 231 ; 202 
3805 Larvik (2020-2023); 132 128 ; 170 ; 149 
3806 Porsgrunn (2020-2023); 67 041 ; 87 ; 76 
3807 Skien (2020-2023); 96 866 ; 125 ; 109 
3808 Notodden (2020-2023); 22 402 ; 29 ; 25 
3811 Færder (2020-2023); 95 392 ; 123 ; 108 
3812 Siljan (2020-2023); 2 418 ; 3 ; 3 
3813 Bamble (2020-2023); 24 782 ; 32 ; 28 
3814 Kragerø (2020-2023); 27 514 ; 36 ; 31 
3815 Drangedal (2020-2023); 4 041 ; 5 ; 5 
3816 Nome (2020-2023); 13 025 ; 17 ; 15 
3817 Midt-Telemark (2020-2023); 20 720 ; 27 ; 23 
3818 Tinn (2020-2023); 8 718 ; 11 ; 10 
3819 Hjartdal (2020-2023); 4 588 ; 6 ; 5 
3820 Seljord (2020-2023); 7 099 ; 9 ; 8 
3821 Kviteseid (2020-2023); 6 229 ; 8 ; 7 
3822 Nissedal (2020-2023); 2 491 ; 3 ; 3 
3823 Fyresdal (2020-2023); 1 566 ; 2 ; 2 
3824 Tokke (2020-2023); 3 650 ; 5 ; 4 
3825 Vinje (2020-2023); 10 961 ; 14 ; 12 
4201 Risør; 15 458 ; 20 ; 17 
4202 Grimstad; 69 893 ; 90 ; 79 
4203 Arendal; 81 280 ; 105 ; 92 
4204 Kristiansand; 301 701 ; 389 ; 341 
4205 Lindesnes; 39 673 ; 51 ; 45 
4206 Farsund; 19 885 ; 26 ; 22 
4207 Flekkefjord; 16 351 ; 21 ; 18 
4211 Gjerstad; 1 836 ; 2 ; 2 
4212 Vegårshei; 2 198 ; 3 ; 2 
4213 Tvedestrand; 9 900 ; 13 ; 11 
4214 Froland; 7 322 ; 9 ; 8 
4215 Lillesand; 37 924 ; 49 ; 43 
4216 Birkenes; 6 308 ; 8 ; 7 
4217 Åmli; 4 053 ; 5 ; 5 
4218 Iveland; 1 197 ; 2 ; 1 
4219 Evje og Hornnes; 6 596 ; 9 ; 7 
4220 Bygland; 1 765 ; 2 ; 2 
4221 Valle; 2 418 ; 3 ; 3 
4222 Bykle; 3 272 ; 4 ; 4 
4223 Vennesla; 14 225 ; 18 ; 16 
4224 Åseral; 1 162 ; 1 ; 1 
4225 Lyngdal; 16 432 ; 21 ; 19 
4226 Hægebostad; 2 838 ; 4 ; 3 
4227 Kvinesdal; 6 826 ; 9 ; 8 
4228 Sirdal; 4 266 ; 6 ; 5 
1101 Eigersund; 55 090 ; 71 ; 62 
1103 Stavanger; 698 000 ; 901 ; 789 
1106 Haugesund; 87 914 ; 113 ; 99 
1108 Sandnes; 193 231 ; 249 ; 218 
1111 Sokndal; 5 293 ; 7 ; 6 
1112 Lund; 7 984 ; 10 ; 9 
1114 Bjerkreim; 6 835 ; 9 ; 8 
1119 Hå; 36 221 ; 47 ; 41 
1120 Klepp; 51 202 ; 66 ; 58 
1121 Time; 46 000 ; 59 ; 52 
1122 Gjesdal; 20 025 ; 26 ; 23 
1124 Sola; 115 996 ; 150 ; 131 
1127 Randaberg; 37 475 ; 48 ; 42 
1130 Strand; 23 159 ; 30 ; 26 
1133 Hjelmeland; 5 931 ; 8 ; 7 
1134 Suldal; 7 657 ; 10 ; 9 
1135 Sauda; 6 191 ; 8 ; 7 
1144 Kvitsøy; 969 ; 1 ; 1 
1145 Bokn; 1 124 ; 1 ; 1 
1146 Tysvær; 17 981 ; 23 ; 20 
1149 Karmøy; 75 802 ; 98 ; 86 
1151 Utsira; 339 ; 0 ; 0 
1160 Vindafjord; 52 406 ; 68 ; 59 
4601 Bergen; 1 051 618 ; 1 357 ; 1 188 
4602 Kinn; 49 617 ; 64 ; 56 
4611 Etne; 8 946 ; 12 ; 10 
4612 Sveio; 10 003 ; 13 ; 11 
4613 Bømlo; 36 567 ; 47 ; 41 
4614 Stord; 32 986 ; 43 ; 37 
4615 Fitjar; 7 530 ; 10 ; 9 
4616 Tysnes; 25 665 ; 33 ; 29 
4617 Kvinnherad; 20 017 ; 26 ; 23 
4618 Ullensvang; 15 896 ; 21 ; 18 
4619 Eidfjord; 2 494 ; 3 ; 3 
4620 Ulvik; 1 240 ; 2 ; 1 
4621 Voss; 31 199 ; 40 ; 35 
4622 Kvam; 16 830 ; 22 ; 19 
4623 Samnanger; 3 510 ; 5 ; 4 
4624 Bjørnafjorden; 51 066 ; 66 ; 58 
4625 Austevoll; 74 820 ; 97 ; 85 
4626 Øygarden; 80 571 ; 104 ; 91 
4627 Askøy; 42 287 ; 55 ; 48 
4628 Vaksdal; 2 650 ; 3 ; 3 
4629 Modalen; 876 ; 1 ; 1 
4630 Osterøy; 13 654 ; 18 ; 15 
4631 Alver; 42 520 ; 55 ; 48 
4632 Austrheim; 9 757 ; 13 ; 11 
4633 Fedje; 1 005 ; 1 ; 1 
4634 Masfjorden; 4 870 ; 6 ; 6 
4635 Gulen; 12 188 ; 16 ; 14 
4636 Solund; 2 687 ; 3 ; 3 
4637 Hyllestad; 2 209 ; 3 ; 2 
4638 Høyanger; 7 462 ; 10 ; 8 
4639 Vik; 6 229 ; 8 ; 7 
4640 Sogndal; 26 710 ; 34 ; 30 
4641 Aurland; 4 579 ; 6 ; 5 
4642 Lærdal; 4 162 ; 5 ; 5 
4643 Årdal; 7 382 ; 10 ; 8 
4644 Luster; 10 222 ; 13 ; 12 
4645 Askvoll; 8 054 ; 10 ; 9 
4646 Fjaler; 20 801 ; 27 ; 24 
4647 Sunnfjord; 55 307 ; 71 ; 62 
4648 Bremanger; 4 657 ; 6 ; 5 
4649 Stad; 22 667 ; 29 ; 26 
4650 Gloppen; 14 839 ; 19 ; 17 
4651 Stryn; 29 139 ; 38 ; 33 
1505 Kristiansund; 39 635 ; 51 ; 45 
1506 Molde; 74 894 ; 97 ; 85 
1507 Ålesund (2020-2023); 205 085 ; 265 ; 232 
1511 Vanylven; 4 777 ; 6 ; 5 
1514 Sande; 4 563 ; 6 ; 5 
1515 Herøy (Møre og Romsdal); 31 225 ; 40 ; 35 
1516 Ulstein; 28 092 ; 36 ; 32 
1517 Hareid; 8 584 ; 11 ; 10 
1520 Ørsta; 29 098 ; 38 ; 33 
1525 Stranda; 14 086 ; 18 ; 16 
1528 Sykkylven; 12 824 ; 17 ; 14 
1531 Sula; 12 389 ; 16 ; 14 
1532 Giske; 11 620 ; 15 ; 13 
1535 Vestnes; 15 629 ; 20 ; 18 
1539 Rauma; 28 139 ; 36 ; 32 
1547 Aukra; 5 333 ; 7 ; 6 
1554 Averøy; 12 712 ; 16 ; 14 
1557 Gjemnes; 4 845 ; 6 ; 5 
1560 Tingvoll; 3 455 ; 4 ; 4 
1563 Sunndal; 10 039 ; 13 ; 11 
1566 Surnadal; 14 040 ; 18 ; 16 
1573 Smøla; 3 007 ; 4 ; 3 
1576 Aure; 6 440 ; 8 ; 7 
1577 Volda; 15 837 ; 20 ; 18 
1578 Fjord; 4 143 ; 5 ; 5 
1579 Hustadvika; 19 866 ; 26 ; 22 
5001 Trondheim - Tråante; 676 954 ; 873 ; 765 
5006 Steinkjer; 28 429 ; 37 ; 32 
5007 Namsos - Nåavmesjenjaelmie; 24 243 ; 31 ; 27 
5014 Frøya; 231 617 ; 299 ; 262 
5020 Osen; 1 338 ; 2 ; 2 
5021 Oppdal; 12 335 ; 16 ; 14 
5022 Rennebu; 2 564 ; 3 ; 3 
5025 Røros - Rossen; 12 490 ; 16 ; 14 
5026 Holtålen; 1 666 ; 2 ; 2 
5027 Midtre Gauldal; 5 685 ; 7 ; 6 
5028 Melhus; 23 110 ; 30 ; 26 
5029 Skaun; 7 102 ; 9 ; 8 
5031 Malvik; 30 517 ; 39 ; 34 
5032 Selbu; 5 371 ; 7 ; 6 
5033 Tydal; 1 022 ; 1 ; 1 
5034 Meråker; 3 273 ; 4 ; 4 
5035 Stjørdal; 39 296 ; 51 ; 44 
5036 Frosta; 4 269 ; 6 ; 5 
5037 Levanger - Levangke; 26 338 ; 34 ; 30 
5038 Verdal; 18 983 ; 24 ; 21 
5041 Snåase - Snåsa; 2 980 ; 4 ; 3 
5042 Lierne; 2 267 ; 3 ; 3 
5043 Raarvihke - Røyrvik; 284 ; 0 ; 0 
5044 Namsskogan; 1 488 ; 2 ; 2 
5045 Grong; 2 408 ; 3 ; 3 
5046 Høylandet; 1 070 ; 1 ; 1 
5047 Overhalla; 5 213 ; 7 ; 6 
5049 Flatanger; 3 728 ; 5 ; 4 
5052 Leka; 918 ; 1 ; 1 
5053 Inderøy; 11 475 ; 15 ; 13 
5054 Indre Fosen; 12 871 ; 17 ; 15 
5055 Heim; 14 336 ; 18 ; 16 
5056 Hitra; 8 683 ; 11 ; 10 
5057 Ørland; 17 409 ; 22 ; 20 
5058 Åfjord; 11 458 ; 15 ; 13 
5059 Orkland; 28 640 ; 37 ; 32 
5060 Nærøysund; 53 341 ; 69 ; 60 
5061 Rindal; 2 836 ; 4 ; 3 
1804 Bodø; 140 670 ; 182 ; 159 
1806 Narvik; 27 520 ; 36 ; 31 
1811 Bindal; 4 537 ; 6 ; 5 
1812 Sømna; 2 402 ; 3 ; 3 
1813 Brønnøy; 24 536 ; 32 ; 28 
1815 Vega; 1 656 ; 2 ; 2 
1816 Vevelstad; 637 ; 1 ; 1 
1818 Herøy (Nordland); 8 034 ; 10 ; 9 
1820 Alstahaug; 10 621 ; 14 ; 12 
1822 Leirfjord; 2 704 ; 3 ; 3 
1824 Vefsn; 23 096 ; 30 ; 26 
1825 Grane; 2 048 ; 3 ; 2 
1826 Aarborte - Hattfjelldal; 1 490 ; 2 ; 2 
1827 Dønna; 7 959 ; 10 ; 9 
1828 Nesna; 3 427 ; 4 ; 4 
1832 Hemnes; 3 579 ; 5 ; 4 
1833 Rana - Raane; 35 826 ; 46 ; 40 
1834 Lurøy; 15 781 ; 20 ; 18 
1835 Træna; 1 108 ; 1 ; 1 
1836 Rødøy; 1 802 ; 2 ; 2 
1837 Meløy; 7 839 ; 10 ; 9 
1838 Gildeskål; 2 074 ; 3 ; 2 
1839 Beiarn; 1 056 ; 1 ; 1 
1840 Saltdal; 7 008 ; 9 ; 8 
1841 Fauske - Fuossko; 12 887 ; 17 ; 15 
1845 Sørfold - Fuolldá; 1 850 ; 2 ; 2 
1848 Steigen; 5 415 ; 7 ; 6 
1851 Lødingen; 3 571 ; 5 ; 4 
1853 Evenes - Evenássi; 1 249 ; 2 ; 1 
1856 Røst; 1 912 ; 2 ; 2 
1857 Værøy; 3 688 ; 5 ; 4 
1859 Flakstad; 2 682 ; 3 ; 3 
1860 Vestvågøy; 26 764 ; 35 ; 30 
1865 Vågan; 30 902 ; 40 ; 35 
1866 Hadsel; 48 848 ; 63 ; 55 
1867 Bø (Nordland); 12 549 ; 16 ; 14 
1868 Øksnes; 9 938 ; 13 ; 11 
1870 Sortland - Suortá; 30 371 ; 39 ; 34 
1871 Andøy; 8 051 ; 10 ; 9 
1874 Moskenes; 3 070 ; 4 ; 3 
1875 Hábmer - Hamarøy; 3 141 ; 4 ; 4 
5401 Tromsø (2020-2023); 195 956 ; 253 ; 221 
5402 Harstad - Hárstták (2020-2023); 50 036 ; 65 ; 57 
5403 Alta (2020-2023); 38 004 ; 49 ; 43 
5404 Vardø (2020-2023); 2 150 ; 3 ; 2 
5405 Vadsø (2020-2023); 6 882 ; 9 ; 8 
5406 Hammerfest - Hámmerfeasta (2020-2023); 12 589 ; 16 ; 14 
5411 Kvæfjord (2020-2023); 2 329 ; 3 ; 3 
5412 Dielddanuorri - Tjeldsund (2020-2023); 5 255 ; 7 ; 6 
5413 Ibestad (2020-2023); 8 052 ; 10 ; 9 
5414 Gratangen (2020-2023); 5 390 ; 7 ; 6 
5415 Loabák - Lavangen (2020-2023); 1 120 ; 1 ; 1 
5416 Bardu (2020-2023); 3 857 ; 5 ; 4 
5417 Salangen (2020-2023); 3 738 ; 5 ; 4 
5418 Målselv (2020-2023); 10 315 ; 13 ; 12 
5419 Sørreisa (2020-2023); 6 732 ; 9 ; 8 
5420 Dyrøy (2020-2023); 1 388 ; 2 ; 2 
5421 Senja (2020-2023); 32 016 ; 41 ; 36 
5422 Balsfjord (2020-2023); 6 227 ; 8 ; 7 
5423 Karlsøy (2020-2023); 4 540 ; 6 ; 5 
5424 Lyngen (2020-2023); 4 849 ; 6 ; 5 
5425 Storfjord - Omasvuotna - Omasvuono (2020-2023); 2 364 ; 3 ; 3 
5426 Gáivuotna - Kåfjord - Kaivuono (2020-2023); 2 243 ; 3 ; 3 
5427 Skjervøy (2020-2023); 4 590 ; 6 ; 5 
5428 Nordreisa - Ráisa - Raisi (2020-2023); 7 768 ; 10 ; 9 
5429 Kvænangen (2020-2023); 1 187 ; 2 ; 1 
5430 Guovdageaidnu - Kautokeino (2020-2023); 2 590 ; 3 ; 3 
5432 Loppa (2020-2023); 1 063 ; 1 ; 1 
5433 Hasvik (2020-2023); 451 ; 1 ; 1 
5434 Måsøy (2020-2023); 2 241 ; 3 ; 3 
5435 Nordkapp (2020-2023); 5 704 ; 7 ; 6 
5436 Porsanger - Porsángu - Porsanki (2020-2023); 4 023 ; 5 ; 5 
5437 Kárásjohka - Karasjok (2020-2023); 2 438 ; 3 ; 3 
5438 Lebesby (2020-2023); 2 572 ; 3 ; 3 
5439 Gamvik (2020-2023); 1 174 ; 2 ; 1 
5440 Berlevåg (2020-2023); 1 230 ; 2 ; 1 
5441 Deatnu - Tana (2020-2023); 3 999 ; 5 ; 5 
5442 Unjárga - Nesseby (2020-2023); 1 477 ; 2 ; 2 
5443 Båtsfjord (2020-2023); 3 375 ; 4 ; 4 
5444 Sør-Varanger (2020-2023); 10 014 ; 13 ; 11 